Region,City,Venue Type,Venue Name,Sports/Activities,Data Source Type,Data Source URL,API Available,Scraping Method,Update Frequency,Data Quality,Implementation Status,Data Integration Method,Contact Info,Notes
Metro Vancouver,Vancouver,Community Centre,Kerrisdale Community Centre,Basketball/Badminton/Pickleball,Community Website,https://www.kerrisdalecc.com/,No,HTML Parsing,Daily,High,Active,Web Scraping Bot,604-257-8100,Active drop-in programs
Metro Vancouver,Vancouver,Community Centre,Mount Pleasant Community Centre,Gym Sports/Fitness,Municipal Website,https://vancouver.ca/parks-recreation-culture/mount-pleasant-community-centre.aspx,No,DOM Scraping,Daily,High,Planned,City API Integration,604-257-8100,Full facility with pool
Metro Vancouver,Vancouver,Community Centre,Sunset Community Centre,Basketball/Badminton,Municipal Website,https://vancouver.ca/parks-recreation-culture/sunset-community-centre.aspx,No,DOM Scraping,Daily,High,Planned,City API Integration,604-257-8100,Pool and gym facilities
Metro Vancouver,Vancouver,Ice Arena,Britannia Ice Rink,Hockey/Figure Skating,Municipal Website,https://vancouver.ca/parks-recreation-culture/britannia-community-centre.aspx,No,HTML Parsing,Daily,High,Planned,Booking System API,604-718-5800,Part of Britannia Centre
Metro Vancouver,Vancouver,Ice Arena,Hillcrest Centre Ice Rink,Hockey/Public Skating,Municipal Website,https://vancouver.ca/parks-recreation-culture/hillcrest-centre.aspx,No,HTML Parsing,Daily,High,Planned,Booking System API,604-718-5800,Olympic legacy facility
Metro Vancouver,Vancouver,Beach Court,Jericho Beach Volleyball,Beach Volleyball,Municipal Website,https://vancouver.ca/parks-recreation-culture/beach-volleyball.aspx,No,HTML Parsing,Daily,High,Active,Weather API Integration,604-257-8400,Prime beach volleyball location
Metro Vancouver,Vancouver,Beach Court,Kitsilano Beach Volleyball,Beach Volleyball,Municipal Website,https://vancouver.ca/parks-recreation-culture/beach-volleyball.aspx,No,HTML Parsing,Daily,High,Active,Weather API Integration,604-257-8400,Multiple beach courts available
Metro Vancouver,Vancouver,Beach Court,English Bay Volleyball,Beach Volleyball,Municipal Website,https://vancouver.ca/parks-recreation-culture/beach-volleyball.aspx,No,HTML Parsing,Daily,High,Active,Weather API Integration,604-257-8400,Central downtown location
Metro Vancouver,Vancouver,University,UBC Recreation Centre,All Sports,University Website,https://recreation.ubc.ca/,No,JSON API Scraping,Daily,High,Active,University API,604-822-4522,Comprehensive university facility
Metro Vancouver,Vancouver,Private Club,Vancouver Racquets Club,Racquetball/Squash,Private Website,https://www.vancouverracquetsclub.com/,No,Web Scraping,Weekly,Medium,Planned,Direct Contact API,604-689-4424,Racquet sports focus
Metro Vancouver,Burnaby,University,SFU Recreation Centre,All Sports,University Website,https://www.sfu.ca/recreation/,No,JSON API Scraping,Daily,High,Active,University API,778-782-4444,Mountain campus location
Metro Vancouver,Burnaby,Municipal,Burnaby Recreation Centres,All Sports,Municipal Website,https://www.burnaby.ca/recreation-and-arts,No,HTML Parsing,Daily,High,Planned,Municipal API,604-294-7450,Multiple locations
Metro Vancouver,Burnaby,Sports Complex,Swangard Stadium,Soccer/Track,Municipal Website,https://www.burnaby.ca/recreation-and-arts/sports-fields-courts/swangard-stadium,No,Event Calendar Scraping,Weekly,Medium,Planned,Event Management API,604-291-6840,Professional soccer venue
Metro Vancouver,Richmond,Sports Complex,Richmond Olympic Oval,Speed Skating/Multi-Sport,Facility Website,https://www.richmondoval.ca/,No,Calendar API,Daily,High,Active,Direct API Integration,604-276-4400,2010 Olympic venue
Metro Vancouver,Richmond,Municipal,Richmond Recreation Centres,All Sports,Municipal Website,https://www.richmond.ca/recreation,No,HTML Parsing,Daily,High,Planned,Municipal Database,604-276-4000,Extensive recreation network
Metro Vancouver,Richmond,Field Complex,Minoru Park Sports Fields,Soccer/Baseball,Municipal Website,https://www.richmond.ca/parks/parks/about/park/minoru.htm,No,Field Booking Scraping,Daily,High,Planned,Booking System API,604-276-4000,Multiple sports fields
Metro Vancouver,Surrey,Municipal,Surrey Recreation Centres,All Sports,Municipal Website,https://www.surrey.ca/recreation-culture,No,HTML Parsing,Daily,High,Planned,Municipal API,604-501-5050,Largest BC municipality
Metro Vancouver,Surrey,Arena,Surrey Sports & Leisure Complex,Hockey/Swimming,Municipal Website,https://www.surrey.ca/recreation-culture/recreation-centres-arenas,No,Facility Calendar Scraping,Daily,High,Planned,Booking API,604-501-5050,Major sports complex
Metro Vancouver,North Vancouver,Municipal,North Vancouver Recreation,All Sports,Municipal Website,https://www.cnv.org/parks-recreation,No,HTML Parsing,Daily,Medium,Planned,City Database,604-990-2311,Mountain recreation access
Metro Vancouver,West Vancouver,Municipal,West Vancouver Recreation,All Sports,Municipal Website,https://westvancouver.ca/parks-recreation,No,HTML Parsing,Daily,Medium,Planned,City Database,604-925-7000,Premium facilities
Metro Vancouver,Coquitlam,Municipal,Coquitlam Recreation,All Sports,Municipal Website,https://www.coquitlam.ca/recreation-and-culture,No,HTML Parsing,Daily,High,Planned,Municipal API,604-927-3000,Growing suburban city
Metro Vancouver,Port Moody,Municipal,Port Moody Recreation,All Sports,Municipal Website,https://www.portmoody.ca/en/recreation-and-culture,No,HTML Parsing,Daily,Medium,Planned,City Database,604-469-4555,Smaller municipality
Metro Vancouver,New Westminster,Municipal,New Westminster Recreation,All Sports,Municipal Website,https://www.newwestcity.ca/services/recreation-and-culture,No,HTML Parsing,Daily,Medium,Planned,City Database,604-527-4640,Historic royal city
Metro Vancouver,Langley,Municipal,Township of Langley Recreation,All Sports,Municipal Website,https://www.tol.ca/recreation-culture/,No,HTML Parsing,Daily,High,Planned,Municipal API,604-533-6000,Large suburban township
Metro Vancouver,Maple Ridge,Municipal,Maple Ridge Recreation,All Sports,Municipal Website,https://www.mapleridge.ca/1349/Recreation-Facilities,No,HTML Parsing,Daily,Medium,Planned,City Database,604-463-5221,Eastern metro vancouver
Metro Vancouver,Pitt Meadows,Municipal,Pitt Meadows Recreation,All Sports,Municipal Website,https://www.pittmeadows.ca/en/recreation-and-culture,No,HTML Parsing,Weekly,Medium,Planned,City Database,604-465-5454,Small rural community
Metro Vancouver,Delta,Municipal,Delta Recreation,All Sports,Municipal Website,https://www.delta.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,City Database,604-946-3300,South delta communities
Metro Vancouver,White Rock,Municipal,White Rock Recreation,All Sports,Municipal Website,https://www.whiterockcity.ca/recreation-culture/,No,HTML Parsing,Daily,Medium,Planned,City Database,604-541-2100,Beachfront community
Fraser Valley,Chilliwack,Municipal,Chilliwack Recreation,All Sports,Municipal Website,https://www.chilliwack.com/main/page.cfm?id=2217,No,HTML Parsing,Daily,High,Planned,Municipal API,604-792-9311,Valley's largest city
