Venue Type,Venue Name,Location,Sports/Activities,Data Source Type,Data Source URL,API Available,Scraping Method,Update Frequency,Data Quality,Implementation Status,Notes
Park,Queen Elizabeth Park,Vancouver BC,Tennis Courts,Municipal Website,https://vancouver.ca/parks-recreation-culture/queen-elizabeth-park.aspx,No,Web Scraping,Daily,Medium,Planned,Static court info
Park,Stanley Park,Vancouver BC,Tennis Courts/Running Trails,Municipal Website,https://vancouver.ca/parks-recreation-culture/stanley-park.aspx,No,Web Scraping,Daily,High,Planned,Popular tourist destination
Park,Van Dusen Botanical Garden,Vancouver BC,Walking/Running,Municipal Website,https://vancouver.ca/parks-recreation-culture/vandusen-botanical-garden.aspx,No,Web Scraping,Weekly,Low,Planned,Limited sports activities
Park,Dr. Sun Yat-Sen Classical Chinese Garden,Vancouver BC,Tai Chi,Municipal Website,https://vancouver.ca/parks-recreation-culture/dr-sun-yat-sen-classical-chinese-garden.aspx,No,Web Scraping,Weekly,Low,Planned,Specialized activities
Park,Jericho Beach Park,Vancouver BC,Beach Volleyball/Sailing,Municipal Website,https://vancouver.ca/parks-recreation-culture/jericho-beach.aspx,No,Web Scraping,Daily,High,Active,Beach sports popular
Park,English Bay Beach,Vancouver BC,Beach Volleyball/Swimming,Municipal Website,https://vancouver.ca/parks-recreation-culture/english-bay-beach.aspx,No,Web Scraping,Daily,High,Active,Prime beach volleyball location
Park,Kitsilano Beach,Vancouver BC,Beach Volleyball/Basketball,Municipal Website,https://vancouver.ca/parks-recreation-culture/kitsilano-beach.aspx,No,Web Scraping,Daily,High,Active,Multiple beach courts
Park,Sunset Beach,Vancouver BC,Beach Volleyball,Municipal Website,https://vancouver.ca/parks-recreation-culture/sunset-beach.aspx,No,Web Scraping,Daily,Medium,Active,Limited facilities
Park,Locarno Beach,Vancouver BC,Beach Volleyball,Municipal Website,https://vancouver.ca/parks-recreation-culture/locarno-beach.aspx,No,Web Scraping,Daily,Medium,Planned,Less crowded option
Community Centre,Kerrisdale Community Centre,Vancouver BC,Basketball/Badminton/Pickleball,Community Centre Website,https://www.kerrisdalecc.com/,No,Web Scraping,Daily,High,Active,Active drop-in programs
Community Centre,Mount Pleasant Community Centre,Vancouver BC,Gym Sports/Fitness,Vancouver Parks Rec,https://vancouver.ca/parks-recreation-culture/mount-pleasant-community-centre.aspx,No,Web Scraping,Daily,High,Planned,Full facility
Community Centre,Sunset Community Centre,Vancouver BC,Basketball/Badminton,Vancouver Parks Rec,https://vancouver.ca/parks-recreation-culture/sunset-community-centre.aspx,No,Web Scraping,Daily,High,Planned,Pool and gym facilities
Community Centre,Roundhouse Community Centre,Vancouver BC,Multi-Sport/Fitness,Vancouver Parks Rec,https://vancouver.ca/parks-recreation-culture/roundhouse-community-centre.aspx,No,Web Scraping,Daily,High,Planned,Downtown location
Community Centre,Ray-Cam Co-operative Centre,Vancouver BC,Basketball/Youth Programs,Vancouver Parks Rec,https://vancouver.ca/parks-recreation-culture/ray-cam-co-operative-centre.aspx,No,Web Scraping,Daily,Medium,Planned,Community focused
Community Centre,Renfrew Community Centre,Vancouver BC,Basketball/Badminton,Vancouver Parks Rec,https://vancouver.ca/parks-recreation-culture/renfrew-community-centre.aspx,No,Web Scraping,Daily,High,Planned,East Vancouver
Community Centre,Trout Lake Community Centre,Vancouver BC,Basketball/Fitness,Vancouver Parks Rec,https://vancouver.ca/parks-recreation-culture/trout-lake-community-centre.aspx,No,Web Scraping,Daily,High,Planned,Popular location
Community Centre,West End Community Centre,Vancouver BC,Basketball/Badminton/Squash,Vancouver Parks Rec,https://vancouver.ca/parks-recreation-culture/west-end-community-centre.aspx,No,Web Scraping,Daily,High,Planned,Dense urban area
Ice Arena,Britannia Ice Rink,Vancouver BC,Hockey/Figure Skating,Vancouver Parks Rec,https://vancouver.ca/parks-recreation-culture/britannia-community-centre.aspx,No,Web Scraping,Daily,High,Planned,Part of Britannia Centre
